userName,score,at,content
Naufal Fattah,1,2024-09-30 15:39:21,"QRIS YANG BENER LAH, BOLAK BALIK MAU BAYAR GABISA GADA QR NYA"
Theresia Lucky,2,2024-09-30 15:14:42,"Boarding pass ga muncul, pembayaran udh selesai diterima"
norma Sulastri,2,2024-09-30 13:02:18,"Udah beli tiket lokal tapi kenapa gak bisa liat tiket yg dibeli ya? Udh bbrp hari error, gimana pas tgl saya berangkat mau scan barcode gk bs kebuka tiket yg saya belinya???"
Novia Pridini,1,2024-09-30 12:59:38,Padahal udah isi saldo tapi tidak masuk kecewa kecewa
عمر الكاف,1,2024-09-30 12:00:37,waktu batalin tiket katanya akan kembalikan uang 75%sampai sekarang belum di balikan
Om JinBatu,3,2024-09-30 11:14:50,"Topupnya gk bisa dibawa rusuh, ayo Team iT nya lebih giat lg.."
yoga septian,1,2024-09-30 10:53:04,"Aplikasinya masih banyak bug, sering error loading lama"
Wahyu Indah Sari,1,2024-09-30 10:42:40,"Mau batalin tiket susah bgt. Pengembalian dana melalui e wallet tidak tersedia. Nonton di ytb keknya gampang bgt. Lewat rekening, juga ga bisa, no rek udah di input, tp gagal, tulisannya wajib di isi terus. Aplikasinya juga dh di update. Tp kenapa gagal mulu.. Hhhffttt"
Melinda Linda,1,2024-09-30 08:06:39,"Saya mau pesen tiket , tapi kenapa ya sekarang mau pilih kursi saja tidak bisa , saya coba berulang tetap ga bisa alasannya gad signal, mohon dibantu ya kai dan mohon segera diperbaiki . makasi"
Lina pramitasari,1,2024-09-30 07:47:58,"Tolong ditingkatkan pelayanan untuk pembatalan tiket, uang saya masih nyangkut di KAI. Saya pesan tiket lokal jember - kalistail pada tgl 1 september tp krn ada masalah kondisi saya membatalkan tiket, saya tanya pihak cust servis katanya menunggu 14hari jam kerja ternyata saya tunggu sampai tgl 26 september uang saya belum keluar. Gimana ini tolong dong pelayanannya."
Yoi Mabro,1,2024-09-30 07:07:11,Gimana si cara pembayaran ga jelas skli bikin darah tinggi saja
teja nurani,5,2024-09-30 06:42:05,Semoga bisa berjalan lancar aplikasinya
aldi wijaya,1,2024-09-30 06:06:51,"Saya sudah melakukan pembayaran via gopay status sudah selesai tapi tiket yang saya pesan tidak selesai, GX JELAS!!! mau coba hubungi service senter nya gak bisa, GX JELAS!!!"
Shella Nurhaliza Putri,1,2024-09-30 05:38:01,Gajelas aplikasinya
Fathur Rozaq,1,2024-09-30 05:03:49,Loading lama banget
Ibrahimov,1,2024-09-30 01:59:57,"Apaansi payah bgt, masa mau upgrade aja ribet bgt, suruh masukin kode otp tapi tulisan nya ""kode otp tidak sesuai"" lah padahal kode yg saya masukin itu kode yg di kirim dari pihak kalian, gimana si"
Main Gim,1,2024-09-30 01:47:37,Aplikasi ajg.. Mau mesen tiket eror mulu.
anggra ayren3,5,2024-09-30 01:23:31,Ok
Ridwan Luwia,5,2024-09-30 01:16:45,"Cara termudah dan simple utk melakukan pembelian tiket kereta api ke semua tujuan .... menggunakan aplikasi ini sangat mudah dan nyaman, apalagi sekarang ditambah fitur bisa menelpon contact centre tanpa pulsa ... bravo KAI ACCESS"
naura zalianty,1,2024-09-30 01:05:05,aplikasinya gajelas
De Yusman,5,2024-09-30 00:53:45,"Good, aplikasi ini cukup membantu."
ahmad zainudin,1,2024-09-30 00:34:25,"Saya pengguna lama aplikasi ini tapi semenjak update mau bayar krl pas mau masukan pin tidak bisa padahal saya pengguna lama & tidak pernah ganti pin untuk transaksi, pas klik lupa pin notif dari email untuk ganti pin tidak bisa di buka, aneh ya tapi begitu sekarang aplikasi kaiaccess, auto uninstall"
Dedi Irawanto,5,2024-09-30 00:26:48,Perlu dikembangkan lagi
Satrio UD,5,2024-09-29 22:44:15,Lancar dan dimudahkan
Sawa93,1,2024-09-29 17:24:33,"Kalau mau pesan tiket loadingnya lama dan suka eror setelah itu saat mau beli lagi tiket kereta sudah habis, tolong diperbaiki 🙏🏻"
Baihaqi Muhammad,1,2024-09-29 17:15:29,"Makin Diupdate makin banyak Bug nya, parahh, mau masuk akun aja, failed request data terus, kocak"", sekarang plus 00.00 buat beli tiket ga muncul sampai 00.08 baru keluar tiba"" tiket udh habis, pliss lah niat ga sih bikin apk, fitur aja ditambah""i, tapi yg bener"" dibutuhin dan inti aplikasi malah ga berkerja dengan baik, minimal ngotak, pliss ini KAI Ascess gimana, mana udh 2 kali lagi udh bayar ternyata tiket ga keluar siall siall"
henry ramadhani,1,2024-09-29 17:07:15,apk anj
Raji Widiyanto,1,2024-09-29 15:40:36,Sanngat lemot Nomer dan gmail sudah singkron kok malah ngak bisa
Nxeyin Yt,1,2024-09-29 14:26:22,Sudah pesan teqmpat duduk eh ga bisa bayar sampek 3 batalkan pesanan tetep gak bisa bayar apa emang gak boleh bayar?
Bapaknya Salwa,1,2024-09-29 12:51:39,"Pesen tiket untuk bulan oktober, tgl 2, tiket tersedia tapi gak bisa pilih kursi, sudah beli tiket dengan no kursi random/acak, tapi tiket ga bisa di tampilkan..."
SUBARJO BARJO,5,2024-09-29 11:29:16,"Sangat membantu dalam pemesanan,tidak perlu repot ke stasiunnya"
Wildan Hakam Maulidy,1,2024-09-29 10:38:49,"Upgrade itu seharusnya menambah kemudahan, ini kenapa malah jadi makin susah ngeaksesnya? balikin ke versi lama aja lahh, saham lu ambruk nanti BUMN. terus ini stasiun lainnya kemana dah? pada mendadak tutup semua gitu? kok dicari ga ada. terus kok pembayaran pakek Link Aja tiba tiba ilang, keburu ilang dah tiket gue anjir"
Yanto Mulyono,1,2024-09-29 09:56:21,"Pas pilih kursi selalu gagal. Mohon untuk BUMN bisa lebih ""pintar"" untuk mengelola aplikasi. Update yg bener asal jangan cuma update doang."
Hafidz Muhammad,4,2024-09-29 09:46:26,"Alhamdulillah selama ini aplikasi KAI Access cukup baik. selamat untuk KAI yg hr ini berulang tahun yg ke-79. Sebelumnya senang rasanya diulang tahun KAI ini ada program KAI Birthday Bash 2024 yang meberikan diskon sebesar 21 % kpd pelanggan KAI Acces. Namun sayang seribu sayang, kenapa hrs pilih kasih untk sebagian kereta api. Jika ini hr yg berbahagia di ULTAH KAI, seharusnya seluruh lokomotif KAI mendapatkan diskon 21% ini. Semoga saran singkat in kdepannya bisa diperhatikan. mhn mf,."
Sugeng Budianto,5,2024-09-29 05:36:03,Amplikasi yg sangat berguna
Gilang,2,2024-09-29 05:34:05,setiap mau pembayaran delaynya lama banget kadang bermasalah juga
Nurlella 456,3,2024-09-29 04:58:18,aplikasi tidak bisa d gunakan tidak bisa beli tiket😡😡😡😡😡
nurtyasadi budi,1,2024-09-29 04:54:04,"KRL Commuter di stasiun jogja pelayanannya buruk, apalagi yg jaga tiket umur 2½ th ditarik biaya terpaksa buat kartu lagi"
Asep Solihin,1,2024-09-29 04:17:04,Sekarang pt kai ribet ga bisa beli tiket offline pelayananya buruk jadi males naik kereta api Jangan naik kereta api ribet aplikasi paling tolol eror terus
Khamim Nur,5,2024-09-29 04:13:23,"Aplikasinya tidak bisa menampilkan QR code, jadi tidak bisa digunakan untuk belanja di beberapa toko retail, seperti Alf*m4rt."
Krisna Dwi Andrianto,3,2024-09-29 04:05:46,"edit: sekarang saya berikan bintang 5, karena aplikasi sudah keren dan lancar menggunakan flutter, mantap saya apresiasi!🤞pertahankan ya 👍, terus berikan fitur"" menarik lainnya 👍👍 Edit: jgn kebanyakan fitur woi jadi lag appnya di hp kentang saya."
Game Blitz,1,2024-09-29 03:23:46,Pembatalan tiket sudah 1 Minggu lebih uang belum juga di kembalikan kecewa si
Ahmad Hafiz Zakikusnaedi,1,2024-09-29 03:16:45,"Koneksi stabil, tapi waktu pilih metode pembayaran keluar aplikasi😕"
chyp harjadinata,1,2024-09-29 02:45:40,Apk g nisa dipake. Mau upgrade member malah g bisa
ArBen Alputra,1,2024-09-29 02:25:33,Loading lama. Pesan tiket berkali2 gagal terus. Udah milih kursi pas di pembayaran lelet banget. Akhirnya gagal. Pas pesan ulang kursi yg dipilih sebelumnya udah nggak bisa dipilih lagi. Nggak jelas apk nya
endang rahmat,1,2024-09-29 02:11:48,Pingin mempermudah layanan tranportasi umum degan seiring majunya teknologi..tp dengan aplikasinya belum maksimal...
arkamaya prasetya,1,2024-09-29 02:08:02,"Coba lah perbaiki itu pembayaran qris kok gk dikenal, pake ovo gangguan terus, digitalisasi tp kok gak siap melayani"
Ghina Nurdyanah Safitri,1,2024-09-29 00:21:21,"Tolong dong sekalian taruh jam keberangkatan kereta komuterline nya, biar tau jam brp kereta dantang nya klo gini kan jadinya telat bgt saya nunggu udh lama bgt, gk sesuai bgt jam nya"
Tine 10,1,2024-09-28 21:32:55,Sdh saya topup tpi kok saldonya ga bertambah ya?? Mohon di perbaiki lagi apknya.
Vhebee Vhebee,1,2024-09-28 19:39:49,Aplikasinya payah bgt. Mau upgrade aja gak bisa. Malah dibilang email & nomer telpon no exist. Udah cobain hapus akun daftar email lain pun gak bisa.
adjie ramadhan,5,2024-09-28 18:19:30,Saya membeli karcis yang salah pada jam nya dan saya harus berpikir keras untuk mengembalikannya hanya saja uang itu tidak bisa dikembalikan dan harus jual ke orang lain dan saya juga udah nggak bisa buat mendapatkan uang itu lagi tolong dibenarkan aplikasi ini jangan sampai Indonesia malu-maluin seperti ini uang 3000 masa nggak bisa dibalikin tolong dong diperbaiki lagi aplikasinya bikin malu-malu negara aja kalau niat bikin kereta nggak usah bikin karcis kereta jadilah yang jujur
Danapi Irawan,1,2024-09-28 17:42:16,"Kalau buat aplikasi yang bener dong,,,masak mau beli eror2 trus setelah normal tiket tinggal 1 kursi,,,,kasihan orang tua kalau kaya gini terus,,,,mending di ubah saja belinya distasiun,,,,kecewa bgt aku"
Syahril Maulana,1,2024-09-28 17:37:41,"Apa ini,pas hari kamis malam sama minggu malam jadwal sering gak ada."
Oldiano Tito,2,2024-09-28 17:22:34,Kurang nyaman sering lag
Aditya Scumbag,1,2024-09-28 17:20:20,Kureeeeng!
Afi Fatus,3,2024-09-28 17:19:45,"Tolong dong diupgrade servernya, sering banget down room tiket lokal terutama pas weekend."
Novita Anggraini Putri,1,2024-09-28 17:17:11,jelek sering error
Sola Fudin,1,2024-09-28 17:16:54,apk lelet
Intan Mujiarnita,1,2024-09-28 17:16:28,"pesan kereta lokal saya pilih byr via qris, ketika unduh qris selalu time out, tidak hanya sekali, setiap minggu sy pesan ketika unduh qris selalu time out, alhasil setiap minggu tidak pernah dpt tiket, tolong diperbaiki, thx"
Raga Ganteng,1,2024-09-28 17:15:33,tolong diperbaiki
Rudi Taufik,1,2024-09-28 17:15:26,"Pesan tiket kereta lokal awalnya time out karena jaringan kurang optimal, setelah di coba lagi kok jadwal keberangkatannya ngga ada?!, padahal barusan ada.. ANEH"
Daniela Elssa,1,2024-09-28 17:10:54,"Nyebelin banget aplikasinya yang sekarang. Sering error padahal dulu nggak begini. Mau pesen tiket dari malem sampai pagi ndak bisa. Alasannya time out, dicoba lagi alasannya servernya sibuk, dicoba lagi malah tulisannya ups jadwal tidak ditemukan. Ujug²nanti kehabisan tiket. Tolong segera diperbaikiiii🙏🏽🙏🏽🙏🏽"
achandra -,1,2024-09-28 17:08:50,"Buat apa sih aplikasi diupgrade tapi tidak memberikan perubahan dan kemajuan yg signifikan. Yg ada makin lemot, sumpah aplikasi KAI gak membantu sama sekali"
